Sentence #,Word,POS,Tag
,GST,NNP,O
,@6%:,.,O
,$0.46,CD,O
,NETT,NNP,O
,TOTAL:,NNP,O
,$8.20,CD,B-total
,PAYMENT,NNP,O
,MODE,NNP,O
,AMOUNT,NNP,O
,CASH,NNP,O
,$8.20,CD,B-total
,CHANGE,NNP,O
,$0.00,XX,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT($),CD,O
,TAX($),RB,O
,SR,NNP,O
,=,SYM,O
,GST,NNP,O
,@6%,NNP,O
,7.74,CD,O
,0.46,CD,O
,GST,NNP,O
,REG,NN,O
,#000656195584,ADD,O
,BAR,NNP,O
,WANG,NNP,O
,RICE@PERMAS,VBZ,O
,JAYA,NNS,O
,(PRICE,-RRB-,O
,INCLUSIVE,NN,O
,OF,IN,O
,GST),VBN,O
,THANK,VBP,O
,YOU,PRP,O
,&,CC,O
,COME,VB,O
,AGAIN!,VBZ,O
,LIKE,UH,O
,AND,CC,O
,FOLLOW,VB,O
,US,NNP,O
,ON,NNP,O
,FACEBOOK!,XX,O
,FACEBOOK.COM/BARWANGRICE,ADD,O
Sentence: 36,UNIHAKKA,NNP,B-company
,INTERNATIONAL,NNP,I-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,14,CD,B-date
,MAR,NNP,I-date
,2018,CD,I-date
,18:40,CD,O
,(867388-U),-LRB-,O
,12,CD,B-address
,JALAN,NNP,I-address
,TAMPOI,NNP,I-address
,7/4,CD,I-address
,KAWASAN,NNP,I-address
,PERINDUSTRIAN,NNP,I-address
,TAMPOI,NNP,I-address
,81200,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR,NNP,I-address
,TAX,NN,O
,INVOICE,NN,O
,INVOICE,NNP,O
,#,NN,O
,:,:,O
,OR18031402160311,ADD,O
,ITEM,RB,O
,QTY,NNP,O
,TOTAL,NNP,O
,SR,NNP,O
,I00100000060-4,NNP,O
,VEGE,NNP,O
,$5.50,CD,O
,1,LS,O
,$5.50,CD,O
,SR,NNP,O
,I00100000006-PORK,NNP,O
,$2.70,CD,O
,1,LS,O
,$2.70,CD,O
,TOTAL,NNP,O
,AMOUNT:,NNP,O
,$8.20,CD,B-total
,GST,NNP,O
,@6%:,.,O
,$0.46,CD,O
,NETT,NNP,O
,TOTAL:,NNP,O
,$8.20,CD,B-total
,PAYMENT,NNP,O
,MODE,NNP,O
,AMOUNT,NNP,O
,CASH,NNP,O
,$8.20,CD,B-total
,CHANGE,NNP,O
,$0.00,XX,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT($),CD,O
,TAX($),RB,O
,SR,NNP,O
,=,SYM,O
,GST,NNP,O
,@6%,NNP,O
,7.74,CD,O
,0.46,CD,O
,GST,NNP,O
,REG,NN,O
,#000656195584,ADD,O
,BAR,NNP,O
,WANG,NNP,O
,RICE@PERMAS,VBZ,O
,JAYA,NNS,O
,(PRICE,-RRB-,O
,INCLUSIVE,NN,O
,OF,IN,O
,GST),VBN,O
,THANK,VBP,O
,YOU,PRP,O
,&,CC,O
,COME,VB,O
,AGAIN!,VBZ,O
,LIKE,UH,O
,AND,CC,O
,FOLLOW,VB,O
,US,NNP,O
,ON,NNP,O
,FACEBOOK!,XX,O
,FACEBOOK.COM/BARWANGRICE,ADD,O
Sentence: 37,WARAKUYA,NNP,B-company
,PERMAS,NNP,companyaddress
,CITY,NNP,B-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,REG,NNP,O
,NO:,NNP,O
,1203194-W,CD,O
,JALAN,NNP,B-address
,PERMAS,VBD,companyaddress
,UTARA,NN,B-address
,1.,CD,O
,PERMAS,NNP,companyaddress
,JAYA,NNP,B-address
,81750,CD,I-address
,MASAI,NNP,I-address
,JOHOR,NNP,I-address
,TEL,NN,O
,:,:,O
,0111-558,CD,O
,0000,CD,O
,GST,NNP,O
,ID:,NNP,O
,0016,CD,O
,6993,CD,O
,5104,CD,O
,TAX,NN,O
,INVOICE,NN,O
,NO,RB,O
,58244,CD,O
,42,CD,O
,DATE:,NNP,O
,10/03/2018,CD,B-date
,5:41:06,CD,O
,PAX,NNP,O
,NO:4,XX,O
,CASHIER:,NNP,O
,CASHIER3,NNP,O
,WAITER:,JJ,O
,HANYIN,NNP,O
,QTY,NNP,O
,CODE/DESC,NNP,O
,THANK,VBP,O
,YOU,PRP,O
,!,.,O
,PLEASE,UH,O
,COME,VB,O
,AGAIN,RB,O
,!,.,O
,TOTAL,JJ,O
,RM,NNP,O
,3,LS,O
,SABA,NNP,O
,SHIO,NNP,O
,YAKI,NNP,O
,SEY,NNP,O
,53.70,CD,O
,1,LS,B-address
,SALMON,NNP,O
,SHIO,NNP,O
,SET,NNP,O
,21.90,CD,O
,4,LS,O
,ICED,VBZ,O
,GREEN,JJ,O
,TEA,NN,O
,4.00,CD,O
,SUBTOTAL,NNP,O
,79.60,CD,O
,DISCOUNT,NNP,O
,-30.00,:,O
,TOTAL,NNP,O
,AMOUNT,NNP,O
,:,:,O
,49.60,CD,O
,SERV,NNP,O
,CHARGE,NNP,O
,10%,CD,O
,4.96,CD,O
,GST,NNP,O
,@,CD,O
,6%,CD,O
,3.27,CD,O
,ROUNDING,NNP,O
,ADJ,NNP,O
,:,:,O
,-0.03,NFP,O
,TOTAL,NNP,O
,AMOUNT:,NNP,O
,57.80,CD,B-total
,TOTAL:,NNP,O
,RM,NNP,O
,57.80,CD,B-total
,TYPE,NNP,O
,3,CD,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT,NNP,O
,RM,NNP,O
,TAX,NN,O
,RM,NNP,O
,SR,NNP,O
,6%,CD,O
,54.56,CD,O
,3.27,CD,O
Sentence: 38,YHM,NNP,B-company
,AEON,NNP,companyaddress
,TEBRAU,NNP,companyaddress
,CITY,NNP,companyaddress
,S117,MD,B-address
,SECOND,RB,I-address
,FLOOR,NNS,I-address
,AEON,NNP,companyaddress
,TEBRAU,NNP,companyaddress
,CITY,NNP,companyaddress
,1,CD,B-address
,JALAN,NNP,I-address
,DESA,NNP,I-address
,TEBRAU,NNP,companyaddress
,TAMAN,NNP,B-address
,DESA,NNP,I-address
,TEBRAU,NNP,companyaddress
,81100,CD,B-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR.,NNP,I-address
,002105827328,XX,O
,*,NFP,O
,TAX,NN,O
,INVOICE,NN,O
,*,NFP,O
,ORDER,NNP,O
,NO.,CD,O
,1000219,CD,O
,11/03/2018,CD,B-date
,06:20,CD,O
,PM,NN,O
,RECEIPT,NNP,O
,NO.:003-1220815,NNP,O
,PAX:,NNP,O
,1,LS,B-address
,CASHIER,NNP,O
,:CASHIER,NFP,O
,EAT,VB,O
,IN,IN,O
,ITEM,RB,O
,QTY,NNP,O
,U.PRICE,NNP,O
,AMOUNT,NN,O
,TAX,NN,O
,36,CD,O
,FG-A00019,VB,O
,1,LS,B-address
,1.50,CD,O
,1.50,CD,O
,SR,NNP,O
,GREEN,JJ,O
,TEA,NNP,O
,FG-H00001,NNP,O
,1,LS,B-address
,8.80,CD,O
,8.80,CD,O
,SR,NNP,O
,KAKE,NNP,O
,UDON,NNP,O
,R,NN,O
,FG-H00100,NNP,O
,1,LS,B-address
,2.80,CD,O
,2.80,CD,O
,SR,NNP,O
,ENOKI,JJ,O
,TEMPURA,NNP,O
,SUBTOTAL,NNP,O
,:,:,O
,13.10,CD,B-total
,TOTAL,NNP,O
,:,:,O
,13.10,CD,B-total
,TOTAL:MYR,NNP,O
,13.10,CD,B-total
,TOTAL,NNP,O
,EXCLUDED,NN,O
,TAX,NN,O
,:,:,O
,12.36,CD,O
,:,:,O
,0.74,CD,O
,PAYMENT,NNP,O
,DETAILS,NNP,O
,CASH,NNP,O
,20.10,CD,O
,CASH,NN,O
,CHANGE,NNS,O
,7.00,CD,O
,TAX,NN,O
,SUMMARY,NN,O
,TAX,NN,O
,CODE,NN,O
,%,NN,O
,AMOUNT(MYR),ADD,O
,TAX(MYR),ADD,O
,SR,NNP,O
,6,CD,O
,1,LS,B-address
,0.74,CD,O
,****,NFP,O
,THANK,VBP,O
,YOU,PRP,O
,****,NFP,O
,PLEASE,UH,O
,COME,VB,O
,AGAIN.,NNP,O
Sentence: 39,BREWERY,NN,O
,TAP,NNP,O
,DWNER,NN,O
,BY,IN,B-company
,CASTLE,NNP,I-company
,BLUE,NNP,I-company
,S/B,NNP,I-company
,(1035693-T),-LRB-,O
,GST,NNP,O
,NO,NNP,O
,:,:,O
,002108047360,CD,O
,AVTIVO,NNP,B-address
,PLAZA,NNP,I-address
,LOT,NNP,I-address
,B-F-11,NNP,I-address
,BLOCK,NNP,I-address
,B,NN,I-address
,NO1.JALAN,NNP,I-address
,PJU,NNP,I-address
,9/1,CD,I-address
,D'SARA,JJ,I-address
,AVEVUE,NNP,I-address
,BANDAR,NNS,I-address
,SRI,NNP,I-address
,D'SARA,RB,I-address
,52000,CD,I-address
,XL,NNP,O
,TEL:,ADD,O
,+603-62629219,.,O
,*,NFP,O
,GUEST,NN,O
,CHECK,NNS,O
,*,NFP,O
,TABLE,NN,O
,NO:,NNP,O
,D06,NNP,O
,ORDER,NNP,O
,NO,UH,O
,:,:,O
,11649,CD,O
,DATE,NNP,O
,:,:,O
,30/03/2018,CD,B-date
,#,$,O
,8:13,CD,O
,PM,NN,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NON,NNP,O
,REFUNDABLE,NNP,O
,CASHIER,NNP,O
,:,:,O
,ORDER,NN,O
,LOGIN,NNP,O
,WAITER,NNP,O
,:,:,O
,HARRY,NN,O
,PAING,NNP,O
,PRN,VB,O
,ON,NNP,O
,:,:,O
,30/03/2018,CD,B-date
,11:18,CD,O
,PM,NN,O
,QTY,NNP,O
,ITEM,RB,O
,RM,NNP,O
,***,NFP,O
,DINE,NNP,O
,IN,IN,O
,***,XX,O
,1,LS,O
,TIGER,NNP,O
,2,CD,O
,BUCKET,NN,O
,-,HYPH,O
,HH,NNP,O
,95.00,CD,O
,SR,NNP,O
,2,LS,O
,TIGER,NNP,O
,BUCKET-,NNP,O
,HH,NN,O
,1,LS,O
,CHICKEN,NNS,O
,WINGS,NNPS,O
,22.00,CD,O
,SR,NNP,O
,1,LS,O
,FRENCH,NNP,O
,FRIES,NNS,O
,12.00,CD,O
,SR,NNP,O
,1,LS,O
,TIGER,VB,O
,BUCKET-,NNP,O
,HH,NN,O
,50.00,CD,O
,SR,NNP,O
,4,LS,O
,SUBTOTAL,NNP,O
,179.00,CD,O
,GST,NNP,O
,@6%:,.,O
,10.74,CD,O
,ROUNDING,NNP,O
,ADJ,NNP,O
,0.01,CD,O
,NET,NNP,O
,TOTAL,NNP,O
,189.75,CD,B-total
,-,:,O
,***,NFP,O
,30/03/2018,CD,B-date
,11:11,CD,O
,PM,NN,O
,***,NFP,O
,--,.,O
,TAX,NN,O
,SUMMARY,NN,O
,AMOUNT,NNP,O
,TAX,NN,O
,SR:GST,NNP,O
,@6%,NNP,O
,179.00,CD,O
,10.74,CD,O
,THANK,VBP,O
,YOU,PRP,O
,PLEASE,NN,O
,COME,VB,O
,AGAIN,RB,O
Sentence: 40,THREE,CD,B-company
,STOOGES,NN,I-company
,BISTRO,NNP,O
,&,CC,O
,CAFE,NNP,O
,109,CD,B-address
,SS21/1A,NNP,I-address
,DAMANSARA,NNP,I-address
,UTAMA,NNP,I-address
,GST,NNP,O
,ID,NNP,O
,:,:,O
,001661886464,CD,O
,TABLE,NNP,O
,:,:,O
,BAR,VB,O
,7,CD,O
,ORDER,NNP,O
,:,:,O
,00012916,CD,O
,BIZDATE:,NNP,O
,12/03/2018,CD,B-date
,50,CD,O
,CASHIER,NNP,O
,:,:,O
,CASHIER,NNP,O
,BILL,NNP,O
,DT:,NNP,O
,12/03/2018,CD,B-date
,10:25:49,CD,O
,PM,NN,O
,THANK,VBP,O
,YO,NNP,O
,RM,NNP,O
,QTY,NNP,O
,ITEM,RB,O
,AMOUNT,NNP,O
,1,LS,O
,HH,NNP,O
,GUINESS,NNP,O
,12,CD,O
,GLASSES,NNS,O
,150.00,CD,O
,1,LS,O
,HH,NNP,O
,TIGER,NNP,O
,12,CD,O
,GLASSES,NNS,O
,145.00,CD,O
,2,LS,O
,SUB,NNP,O
,TOTAL,NNP,O
,295.00,CD,O
,SERVICE,NN,O
,CHARGE,NNP,O
,10%,CD,O
,29.50,CD,O
,GST,NNP,O
,6%,CD,O
,19.47,CD,O
,ROUNDING,NNP,O
,ADJ,NNP,O
,-0.02,NFP,O
,NET,NNP,O
,TOTAL,NNP,O
,343.95,CD,B-total
,TAX,NN,O
,SUMMARY,NN,O
,AMOUNT,NNP,O
,TAX,NN,O
,SVC,NNP,O
,SERVICE,NNP,O
,CHARGE,NNP,O
,10,CD,O
,295.00,CD,O
,SR,NNP,O
,GST,NNP,O
,6%,CD,O
,324.50,CD,O
,L,NN,O
,ME,NNP,O
,AGAI,NNP,O
Sentence: 41,THREE,CD,B-company
,STOOGES,NN,I-company
,BISTRO,NNP,O
,&,CC,O
,CAFE,NNP,O
,109,CD,B-address
,SS21/1A,NNP,I-address
,DAMANSARA,NNP,I-address
,UTAMA,NNP,I-address
,GST,NNP,O
,ID,NNP,O
,:,:,O
,001661886464,CD,O
,TAX,NN,O
,INVOICE,NN,O
,TABLE,NNP,O
,:,:,O
,G7,NNP,O
,INV,NNP,O
,NO:,NNP,O
,POS01/00012379,NNP,O
,INV,NNP,O
,DATE:,NNP,O
,03/03/2018,CD,B-date
,CASHIER:,NNP,O
,CASHIER,NNP,O
,INV,NNP,O
,DT:,JJ,O
,03/03/2018,CD,B-date
,10:58:51,CD,O
,PM,NN,O
,RM,NNP,O
,QTY,NNP,O
,ITEM,RB,O
,AMOUNT,NNP,O
,1,LS,O
,HH,NNP,O
,GUINESS,NNP,O
,12,CD,O
,GLASSES,NNS,O
,150.00,CD,O
,SVC,NNP,O
,1,LS,O
,SUB,NNP,O
,TOTAL,NNP,O
,150.00,CD,O
,SERVICE,NN,O
,CHARGE,NNP,O
,10%,CD,O
,15.00,CD,O
,GST,NNP,O
,6%,CD,O
,NET,NNP,O
,TOTAL,NNP,O
,174.90,CD,B-total
,CASH,NNP,O
,200.00,CD,O
,CHANGE,NNP,O
,25.10,CD,O
,TAX,NN,O
,SUMMARY,NN,O
,AMOUNT,NNP,O
,TAX,NN,O
,SVC,NNP,O
,SERVICE,NNP,O
,CHARGE,NNP,O
,10,CD,O
,150.00,CD,O
,15.00,CD,O
,SR,NNP,O
,165.00,CD,O
,9.90,CD,O
,THANK,VBP,O
,YOU.,DT,O
,PLZ,NNP,O
,COME,NN,O
,AGAIN,RB,O
,GST,NNP,O
,6%,CD,O
Sentence: 42,GEOVENTURE,NNP,O
,TASTE,NN,B-company
,OF,IN,I-company
,THE,DT,I-company
,WORLD,NNP,I-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,965857-A,CD,O
,LOT,NNP,B-address
,38,CD,I-address
,39,CD,I-address
,101,CD,I-address
,BOULEVARD,NNS,I-address
,JALAN,NNP,I-address
,KENARI,NNP,I-address
,5,CD,I-address
,BANDAR,NN,I-address
,PUCHONG,NNP,I-address
,JAYA,NNS,I-address
,47170,CD,I-address
,PUCHONG,NNP,I-address
,SELANGOR,NNP,I-address
,TEL:,ADD,O
,03,CD,O
,-,SYM,O
,8079,CD,O
,0255,CD,O
,GST,NNP,O
,REG,NNP,O
,NO:,NNP,O
,000136577024,CD,O
,RESERVATION,NNP,O
,NO:,NNP,O
,010,CD,O
,-,SYM,O
,7745055,CD,O
,SIMPLIFIED,VB,O
,TAX,NN,O
,INVOICE,NN,O
,INVOICE,NNP,O
,:581355,.,O
,CASHIER,NNP,O
,NINI,NNP,O
,POS,NNP,O
,NO:1,ADD,O
,PAX,NNP,O
,:,:,O
,0,CD,O
,DATE,NN,O
,:,:,O
,5/3/2018,CD,B-date
,22:52:33,CD,O
,TABLE,NNS,O
,NO,NN,O
,:,:,O
,C38,NNP,O
,ITEM,RB,O
,QTY,NNP,O
,U/P(RM)DISC(%)AMT+GST(RM),LS,O
,S,NN,O
,TIGER,NNP,O
,BUCKET,NNP,O
,GTG02,NNP,O
,1,LS,O
,55.00,CD,O
,0+0,XX,O
,58.30,CD,O
,S,NNP,O
,SERVICE,NN,O
,CHRG(INCL,NNP,O
,GST,NNP,O
,6%),.,O
,RM,NNP,O
,5.83,CD,O
,TOTAL,NNP,O
,SALES(INCL,NNP,O
,GST,NN,O
,6%),.,O
,RM,NNP,O
,64.13,CD,O
,ROUNDING,NNP,O
,ADJUSTMENT,NNP,O
,:,:,O
,RM,NNP,O
,0.02,CD,O
,TOTAL,NNP,O
,RM,NNP,O
,64.15,CD,B-total
,CASH,NNP,O
,RM,NNP,O
,100.00,CD,O
,CHANGE,NNP,O
,RM,NNP,O
,35.85,CD,O
,MAIN,NNP,O
,ITEM,RB,O
,COUNT,VBZ,O
,1,LS,O
,TOTAL,JJ,O
,DISCOUNT,NN,O
,RM,NNP,O
,0.00,CD,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT,NNP,O
,(RM),-LRB-,O
,TAX,NN,O
,(RM),VBZ,O
,S,NNP,O
,6%,CD,O
,60.50,CD,O
,3.63,CD,O
,Z,NNP,O
,0%,NFP,O
,0.00,CD,O
,0.00,CD,O
Sentence: 43,32,CD,B-company
,PUB,NNP,I-company
,&,CC,I-company
,BISTRO,NNP,I-company
,OWN,NNP,I-company
,BY,IN,I-company
,CNU,NN,I-company
,TRADING,NN,I-company
,78G,CD,B-address
,JALAN,NNP,I-address
,SS21/62,CD,I-address
,DAMANSARA,NNP,I-address
,UTAMA,NNP,I-address
,47400,CD,I-address
,PETALING,NNP,I-address
,JAYA.,NNP,I-address
,(GST,-LRB-,O
,REG.,NNP,O
,NO,NN,O
,:,:,O
,000416321536),ADD,O
,TAX,NN,O
,INVOICE,NN,O
,TABLE,NNP,O
,5,CD,O
,INV,NNP,O
,NO.,NNP,O
,504233,CD,O
,PAX(S):,RB,O
,0,CD,O
,DATE,NNP,O
,:,:,O
,10-03-2018,CD,B-date
,23:03:06,CD,O
,CASHIER:,NNP,O
,CHEN,NNP,O
,DESCRIPTION,NNP,O
,QTY,NNP,O
,U.PRICE,NNP,O
,TOTAL,JJ,O
,TAX,NN,O
,HEINEKEN,NNP,O
,(5,NNP,O
,BTL),NNP,O
,2,LS,O
,X,NNS,O
,95.00,CD,O
,190.00,CD,B-total
,SR,NNP,O
,TOTAL,NNP,O
,(EXCLUDING,-LRB-,O
,GST):,NNP,O
,GST,NNP,O
,PAYABLE:,NNS,O
,10.75,CD,O
,TOTAL,NN,O
,(INCLUSIVE,-LRB-,O
,OF,IN,O
,GST):,NNP,O
,190.00,CD,B-total
,TOTAL:,NNP,O
,190.00,CD,B-total
,CLOSED:,NNP,O
,32,CD,B-company
,11-03-2018,CD,O
,00:32:02,XX,O
,SERVER:,NNP,O
,CHEN,NNP,O
,CASH,NN,O
,:,:,O
,200.00,CD,O
,CHANGE,NNS,O
,:,:,O
,10.00,CD,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT,NNP,O
,(RM),-LRB-,O
,TAX,NN,O
,(RM),VBZ,O
,SR,NNP,O
,(@,NNP,O
,6%),ADD,O
,****,NFP,O
,THANK,VBP,O
,YOU,PRP,O
,****,NFP,O
Sentence: 44,UNIHAKKA,NNP,B-company
,INTERNATIONAL,NNP,I-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,18,CD,B-date
,MAR,NNP,I-date
,2018,CD,I-date
,18:25,CD,O
,(867388-U),-LRB-,O
,12,CD,B-address
,JALAN,NNP,I-address
,TAMPOI,NNP,I-address
,7/4,CD,I-address
,KAWASAN,NNP,I-address
,PERINDUSTRIAN,NNP,O
,TAMPOI,NNP,B-address
,81200,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR,NNP,I-address
,TAX,NN,O
,INVOICE,NN,O
,INVOICE,NNP,O
,#,NN,O
,:,:,O
,OR18031802170364,.,O
,ITERN,NNP,O
,QTY,NNP,O
,TOTAL,NNP,O
,SR,NNP,O
,I00100000031-3,NNP,O
,VEGE,NNP,O
,$4.40,NFP,O
,1,LS,O
,$4.40,NFP,O
,SR,NNP,O
,I00100000064-ADD,NNP,O
,VEGETABLE,NNP,O
,$0.50,XX,O
,1,LS,O
,$0.50,XX,O
,SR,NNP,O
,I00100000114-ADD,CD,O
,CHICKEN,NNS,O
,$3.70,CD,O
,1,LS,O
,$3.70,CD,O
,TOTAL,NNP,O
,AMOUNT:,NNP,O
,$8.60,ADD,B-total
,GST,NNP,O
,@6%:,NNP,O
,$0.49,CD,O
,NETT,NNP,O
,TOTAL:,VB,O
,$8.60,ADD,B-total
,PAYMENT,NNP,O
,MODE,NNP,O
,AMOUNT,NNP,O
,CASH,NNP,O
,$8.60,LS,B-total
,CHANGE,NNP,O
,$0.00,XX,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT($),CD,O
,TAX($),RB,O
,SR=GST,JJ,O
,@6%,NNP,O
,8.11,CD,O
,0.49,CD,O
,GST,NNP,O
,REG,NN,O
,#000656195584,ADD,O
,BAR,NNP,O
,WANG,NNP,O
,RICE@PERMAS,VBZ,O
,JAYA,NNS,O
,(PRICE,-RRB-,O
,INCLUSIVE,NN,O
,OF,IN,O
,GST),VBN,O
,THANK,VBP,O
,YOU,PRP,O
,&,CC,O
,CORNE,NNP,O
,AGAIN!,NNS,O
,LIKE,UH,O
,AND,CC,O
,FOLLOW,NNP,O
,LIS,NNP,O
,ON,RB,O
,FACEBOOK!,.,O
,FACEBOOK.COM/BARWANGRICE,ADD,O
Sentence: 45,UNIHAKKA,NNP,B-company
,INTERNATIONAL,NNP,I-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,27,CD,B-date
,MAR,NNP,I-date
,2018,CD,I-date
,18:46,CD,O
,(867388-U),-LRB-,O
,12,CD,B-address
,JALAN,NNP,I-address
,TAMPOI,NNP,I-address
,7/4,CD,I-address
,KAWASAN,NNP,I-address
,PERINDUSTRIAN,NNP,O
,TAMPOL,NN,O
,81200,CD,B-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR,NNP,I-address
,TAX,NN,O
,INVOICE,NN,O
,INVOICE,NNP,O
,#:OR18032702170334,NNP,O
,ITEM,RB,O
,QTY,NNP,O
,TOTAL,NNP,O
,SR,NNP,O
,I00100000056-FRIED,NNPS,O
,NOODLE(S),NNP,O
,$2.00,CD,O
,1,LS,O
,$2.00,CD,O
,SR,NNP,O
,I00100000006-PORK,NNP,O
,$2.70,CD,O
,1,LS,O
,$2.70,CD,O
,SR,NNP,O
,I00100000015-VEGETABLE,NNP,O
,$1.10,CD,O
,2,LS,O
,$2.20,CD,O
,TOTAL,NNP,O
,AMOUNT:$6.90,NNS,O
,GST,NNP,O
,@6%:$0.39,CD,O
,NETT,NN,O
,TOTAL:$6.90,ADD,O
,PAYMENT,NNP,O
,MODE,NNP,O
,AMOUNT,NNP,O
,CASH,NNP,O
,$6.90,CD,B-total
,CHANGE,NNP,O
,$0.00,XX,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT($),CD,O
,TAX($),RB,O
,SR=GST,JJ,O
,@6%,NNP,O
,6.51,CD,O
,0.39,CD,O
,GST,NNP,O
,REG,NN,O
,#000656195584,ADD,O
,BAR,NNP,O
,WANG,NNP,O
,RICE@PERMAS,VBZ,O
,JAYA,NNS,O
,(PRICE,-RRB-,O
,INCLUSIVE,NN,O
,OF,IN,O
,GST),VBN,O
,THANK,VBP,O
,YOU,PRP,O
,&,CC,O
,COME,VB,O
,AGAIN!,VBZ,O
,LIKE,UH,O
,AND,CC,O
,FOLLOW,VB,O
,US,NNP,O
,ON,NNP,O
,FACEBOOK!,XX,O
,FACEBOOK.COM/BARWANGRICE,ADD,O
Sentence: 46,PASAR,NNP,B-company
,MINI,NNP,I-company
,JIN,NN,I-company
,SENG,NNP,I-company
,379,CD,B-address
,JALAN,NNP,I-address
,PERMAS,NNS,I-address
,SATU,NNS,I-address
,BANOAR,NNP,O
,BARU,NNP,B-address
,PERMAS,NNP,I-address
,JAYA,NNP,I-address
,81750,CD,I-address
,PLENTONG,NNP,I-address
,JOHOR.,NNP,I-address
,TEL,NN,O
,:,:,O
,07-3874904,ADD,O
,(CO.NO.,:,O
,JM0195368-D),NNP,O
,(GST,-LRB-,O
,NO.,NNP,O
,000150511616),.,O
,TAXINV:002-1550040,NN,O
,18/03/18,RB,B-date
,CASHIER,NNP,O
,:,:,O
,CASHTER2,.,O
,1,LS,O
,VEGETABLES,NNP,O
,2.20,CD,O
,ZRL,NNP,O
,1,LS,O
,LTK,NNP,O
,OMEGA,NNP,O
,5.70,CD,O
,ZRL,NNP,O
,1,LS,O
,VEGETABLES,NNP,O
,1.00,CD,O
,ZRL,NNP,O
,1,LS,O
,VEGETABLES,NNP,O
,2.00,CD,O
,ZRL,NNP,O
,1,LS,O
,VEGETABLES,NNP,O
,8.00,CD,O
,ZRL,NNP,O
,1,LS,O
,SEAFOOD,NNP,O
,8.50,CD,O
,ZRL,NNP,O
,1,LS,O
,FISH,NNS,O
,BALL,NNP,O
,/,SYM,O
,CAKE,NNP,O
,1.20,CD,O
,SR,NNP,O
,ITEM,RB,O
,COUNT,NNP,O
,7,LS,O
,SUBTOTAL:,NNP,O
,28.60,CD,B-total
,TL:RM,ADD,O
,28.60,CD,B-total
,6%,CD,O
,GST,NNP,O
,0.07,CD,O
,PAYMENT,NNP,O
,DETAILS,NNP,O
,CASH,NNP,O
,100.00,CD,O
,CASH,NN,O
,CHANGE,NNS,O
,71.40,CD,O
,18/03/18,RB,B-date
,09:03,CD,O
,#002-1550040#,NN,O
,CASHIER2,NNS,O
,GST,NNP,O
,SUMMARY,NNP,O
,AMOUNT(RM),NNP,O
,TAX(RM),FW,O
,SR,NNP,O
,((@6%),ADD,O
,1.20,CD,O
,0.07,CD,O
,ZRL,NNP,O
,((@6%),ADD,O
,27.40,CD,O
,0.00,CD,O
,THANK,VBP,O
,YOU,PRP,O
,PLEASE,UH,O
,COME,VB,O
,AGAIN,RB,O
,***,NFP,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,REFUNOABLE,NNS,O
,PLUS,NNP,O
,IOS,NNP,O
Sentence: 47,RESTAURANT,NN,B-company
,SIN,NNP,I-company
,DU,NNP,I-company
,K3-113,VBZ,B-address
,JL,NNP,I-address
,IBRAHIM,NNP,I-address
,SULTAN,NNP,I-address
,80300,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR,NNP,I-address
,H/P:,NNP,O
,019-7521215,.,O
,016-7867868,NFP,O
,09/03/2018,CD,B-date
,21:28,CD,O
,0001,NFP,O
,000000#7259,NFP,O
,CASHIER01,NNP,O
,DPT.05,NNP,O
,RM,NNP,O
,149.00,CD,O
,DPT.04,LS,O
,RM,NNP,O
,21.00,CD,O
,CASH,NNP,O
,RM,NNP,O
,170.00,CD,B-total
Sentence: 48,YONG,NNP,B-company
,TAT,NN,I-company
,HARDWARE,NN,I-company
,TRADING,NN,I-company
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,RETURNABLE,VBN,O
,THANK,VBP,O
,YOU,PRP,O
,(JM0292487-D),NNP,O
,NO4,NNP,O
,JALAN,NNP,B-address
,PERJIRANAN,NNP,I-address
,10,CD,I-address
,TAMAN,NNP,I-address
,AIR,NNP,I-address
,BIRU,NNP,I-address
,81700,CD,I-address
,PASIR,NNP,I-address
,GUDANG,NNP,I-address
,JOHOR.,NNP,I-address
,TEL,NN,O
,:,:,O
,07-2614733,ADD,O
,FAX,NN,O
